data,regio_sanitaria,diagnostic,casos
2023-04-16,Barcelona Metropolitana Sud,Impetigen,5
2023-04-16,Barcelona Metropolitana Sud,Grip,2
2023-04-16,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,41
2023-04-16,Barcelona Metropolitana Nord,Grip,8
2023-04-16,Girona,Pneumònia,7
2023-04-16,Barcelona Metropolitana Nord,Impetigen,5
2023-04-16,Barcelona Metropolitana Nord,Pneumònia,16
2023-04-16,Barcelona Metropolitana Sud,Altres IRA,196
2023-04-16,Barcelona Metropolitana Sud,COVID-19,14
2023-04-16,Barcelona Metropolitana Sud,Escarlatina,3
2023-04-16,Barcelona Metropolitana Sud,Faringoamigdalitis,118
2023-04-16,Penedès,Impetigen,1
2023-04-16,Penedès,Grip,2
2023-04-16,Penedès,Faringoamigdalitis estreptocòccica,14
2023-04-16,Penedès,Faringoamigdalitis,30
2023-04-16,Barcelona Ciutat,Grip,2
2023-04-16,Barcelona Ciutat,Impetigen,5
2023-04-16,Barcelona Ciutat,Pneumònia,7
2023-04-16,Barcelona Metropolitana Nord,Altres IRA,303
2023-04-16,Barcelona Metropolitana Nord,COVID-19,33
2023-04-16,Barcelona Metropolitana Nord,Escarlatina,2
2023-04-16,Barcelona Metropolitana Nord,Faringoamigdalitis,175
2023-04-16,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,58
2023-04-16,Lleida,Faringoamigdalitis,60
2023-04-16,Barcelona Ciutat,Faringoamigdalitis,113
2023-04-16,Lleida,Faringoamigdalitis estreptocòccica,29
2023-04-16,Lleida,Pneumònia,7
2023-04-16,Barcelona Metropolitana Sud,Pneumònia,21
2023-04-16,No disponible,Altres IRA,17
2023-04-16,No disponible,COVID-19,1
2023-04-16,No disponible,Faringoamigdalitis,10
2023-04-16,No disponible,Faringoamigdalitis estreptocòccica,4
2023-04-16,No disponible,Pneumònia,1
2023-04-16,Penedès,Altres IRA,59
2023-04-16,Penedès,COVID-19,8
2023-04-16,Lleida,Grip,1
2023-04-16,Girona,Impetigen,3
2023-04-16,Camp de Tarragona,Grip,9
2023-04-17,Terres de l'Ebre,Faringoamigdalitis,76
2023-04-17,Barcelona Metropolitana Nord,Faringoamigdalitis,627
2023-04-17,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,217
2023-04-17,Barcelona Metropolitana Nord,Grip,141
2023-04-17,Barcelona Metropolitana Nord,Impetigen,48
2023-04-17,Barcelona Metropolitana Nord,Pneumònia,64
2023-04-17,Barcelona Metropolitana Sud,Altres IRA,890
2023-04-17,Barcelona Metropolitana Sud,Bronquiolitis,5
2023-04-17,Barcelona Metropolitana Sud,COVID-19,83
2023-04-17,Barcelona Metropolitana Sud,Escarlatina,29
2023-04-17,Barcelona Metropolitana Nord,Escarlatina,45
2023-04-17,Barcelona Metropolitana Sud,Faringoamigdalitis,338
2023-04-17,Barcelona Metropolitana Sud,Grip,36
2023-04-17,Barcelona Metropolitana Sud,Impetigen,20
2023-04-17,Barcelona Metropolitana Sud,Pneumònia,30
2023-04-17,Camp de Tarragona,Altres IRA,476
2023-04-17,Camp de Tarragona,Bronquiolitis,5
2023-04-17,Camp de Tarragona,COVID-19,38
2023-04-17,Camp de Tarragona,Escarlatina,9
2023-04-17,Camp de Tarragona,Faringoamigdalitis,182
2023-04-17,Camp de Tarragona,Faringoamigdalitis estreptocòccica,49
2023-04-17,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,121
2023-04-17,Camp de Tarragona,Grip,28
2023-04-17,Barcelona Metropolitana Nord,COVID-19,139
2023-04-17,Barcelona Metropolitana Nord,Altres IRA,1724
2023-04-17,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,21
2023-04-17,Terres de l'Ebre,Grip,5
2023-04-17,Terres de l'Ebre,Impetigen,2
2023-04-17,Terres de l'Ebre,Pneumònia,7
2023-04-17,Terres de l'Ebre,Escarlatina,3
2023-04-17,Alt Pirineu i Aran,Altres IRA,45
2023-04-17,Alt Pirineu i Aran,Faringoamigdalitis,25
2023-04-17,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,17
2023-04-17,Alt Pirineu i Aran,Grip,4
2023-04-17,Barcelona Metropolitana Nord,Bronquiolitis,19
2023-04-17,Alt Pirineu i Aran,Impetigen,1
2023-04-17,Barcelona Ciutat,Altres IRA,1213
2023-04-17,Barcelona Ciutat,Bronquiolitis,7
2023-04-17,Barcelona Ciutat,COVID-19,90
2023-04-17,Barcelona Ciutat,Escarlatina,23
2023-04-17,Barcelona Ciutat,Faringoamigdalitis,452
2023-04-17,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,198
2023-04-17,Barcelona Ciutat,Grip,114
2023-04-17,Barcelona Ciutat,Impetigen,45
2023-04-17,Barcelona Ciutat,Pneumònia,59
2023-04-17,Alt Pirineu i Aran,Pneumònia,1
2023-04-17,Camp de Tarragona,Impetigen,8
2023-04-17,Alt Pirineu i Aran,COVID-19,4
2023-04-17,Catalunya Central,Altres IRA,279
2023-04-17,Lleida,Impetigen,9
2023-04-17,Lleida,Pneumònia,12
2023-04-17,No disponible,Altres IRA,30
2023-04-17,No disponible,COVID-19,2
2023-04-17,No disponible,Escarlatina,1
2023-04-17,No disponible,Faringoamigdalitis,7
2023-04-17,No disponible,Faringoamigdalitis estreptocòccica,1
2023-04-17,No disponible,Grip,3
2023-04-17,Penedès,Altres IRA,359
2023-04-17,Lleida,Grip,10
2023-04-17,Penedès,Bronquiolitis,5
2023-04-17,Penedès,Escarlatina,6
2023-04-17,Penedès,Faringoamigdalitis,136
2023-04-17,Penedès,Faringoamigdalitis estreptocòccica,55
2023-04-17,Penedès,Grip,26
2023-04-17,Penedès,Impetigen,14
2023-04-17,Terres de l'Ebre,Altres IRA,165
2023-04-17,Terres de l'Ebre,Bronquiolitis,2
2023-04-17,Terres de l'Ebre,COVID-19,9
2023-04-17,Camp de Tarragona,Pneumònia,18
2023-04-17,Penedès,COVID-19,19
2023-04-17,Lleida,Faringoamigdalitis estreptocòccica,59
2023-04-17,Penedès,Pneumònia,12
2023-04-17,Lleida,Escarlatina,2
2023-04-17,Lleida,Faringoamigdalitis,130
2023-04-17,Catalunya Central,COVID-19,30
2023-04-17,Catalunya Central,Bronquiolitis,3
2023-04-17,Catalunya Central,Faringoamigdalitis,122
2023-04-17,Catalunya Central,Faringoamigdalitis estreptocòccica,57
2023-04-17,Catalunya Central,Grip,18
2023-04-17,Catalunya Central,Impetigen,5
2023-04-17,Catalunya Central,Pneumònia,8
2023-04-17,Girona,Altres IRA,629
2023-04-17,Girona,Bronquiolitis,7
2023-04-17,Catalunya Central,Escarlatina,7
2023-04-17,Girona,Escarlatina,15
2023-04-17,Girona,COVID-19,72
2023-04-17,Lleida,Bronquiolitis,2
2023-04-17,Girona,Pneumònia,17
2023-04-17,Girona,Impetigen,31
2023-04-17,Lleida,Altres IRA,268
2023-04-17,Girona,Faringoamigdalitis estreptocòccica,92
2023-04-17,Girona,Faringoamigdalitis,241
2023-04-17,Girona,Grip,35
2023-04-17,Lleida,COVID-19,31
2023-04-18,Girona,Faringoamigdalitis estreptocòccica,78
2023-04-18,Girona,Grip,28
2023-04-18,Catalunya Central,Pneumònia,8
2023-04-18,Girona,Faringoamigdalitis,217
2023-04-18,Girona,Escarlatina,9
2023-04-18,Girona,COVID-19,38
2023-04-18,Girona,Bronquiolitis,6
2023-04-18,Girona,Altres IRA,575
2023-04-18,Catalunya Central,Faringoamigdalitis,116
2023-04-18,Catalunya Central,Grip,10
2023-04-18,Catalunya Central,Faringoamigdalitis estreptocòccica,58
2023-04-18,Catalunya Central,Escarlatina,2
2023-04-18,Catalunya Central,COVID-19,22
2023-04-18,Catalunya Central,Bronquiolitis,2
2023-04-18,Catalunya Central,Altres IRA,258
2023-04-18,Camp de Tarragona,Pneumònia,15
2023-04-18,Camp de Tarragona,Impetigen,12
2023-04-18,Catalunya Central,Impetigen,4
2023-04-18,Girona,Impetigen,17
2023-04-18,Lleida,Pneumònia,12
2023-04-18,Lleida,Altres IRA,264
2023-04-18,Penedès,COVID-19,20
2023-04-18,Camp de Tarragona,Grip,19
2023-04-18,Penedès,Altres IRA,290
2023-04-18,No disponible,Pneumònia,2
2023-04-18,No disponible,Grip,2
2023-04-18,No disponible,Faringoamigdalitis estreptocòccica,4
2023-04-18,No disponible,Faringoamigdalitis,14
2023-04-18,No disponible,Escarlatina,1
2023-04-18,No disponible,COVID-19,2
2023-04-18,No disponible,Altres IRA,33
2023-04-18,Lleida,Impetigen,4
2023-04-18,Lleida,Grip,11
2023-04-18,Lleida,Faringoamigdalitis estreptocòccica,50
2023-04-18,Lleida,Faringoamigdalitis,116
2023-04-18,Lleida,Escarlatina,1
2023-04-18,Lleida,COVID-19,11
2023-04-18,Lleida,Bronquiolitis,5
2023-04-18,Girona,Pneumònia,29
2023-04-18,Camp de Tarragona,Faringoamigdalitis estreptocòccica,53
2023-04-18,Barcelona Metropolitana Nord,Altres IRA,1445
2023-04-18,Camp de Tarragona,Escarlatina,4
2023-04-18,Barcelona Ciutat,Impetigen,22
2023-04-18,Barcelona Ciutat,Grip,86
2023-04-18,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,133
2023-04-18,Barcelona Ciutat,Faringoamigdalitis,347
2023-04-18,Barcelona Ciutat,Escarlatina,18
2023-04-18,Barcelona Ciutat,COVID-19,88
2023-04-18,Barcelona Ciutat,Bronquiolitis,10
2023-04-18,Barcelona Ciutat,Altres IRA,994
2023-04-18,Alt Pirineu i Aran,Pneumònia,1
2023-04-18,Alt Pirineu i Aran,Impetigen,1
2023-04-18,Alt Pirineu i Aran,Grip,2
2023-04-18,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,6
2023-04-18,Alt Pirineu i Aran,Faringoamigdalitis,14
2023-04-18,Alt Pirineu i Aran,Escarlatina,2
2023-04-18,Alt Pirineu i Aran,COVID-19,6
2023-04-18,Alt Pirineu i Aran,Altres IRA,44
2023-04-18,Penedès,Faringoamigdalitis,103
2023-04-18,Barcelona Ciutat,Pneumònia,33
2023-04-18,Camp de Tarragona,Faringoamigdalitis,142
2023-04-18,Barcelona Metropolitana Nord,Bronquiolitis,10
2023-04-18,Barcelona Metropolitana Nord,Escarlatina,26
2023-04-18,Camp de Tarragona,COVID-19,27
2023-04-18,Camp de Tarragona,Bronquiolitis,3
2023-04-18,Camp de Tarragona,Altres IRA,393
2023-04-18,Barcelona Metropolitana Sud,Pneumònia,26
2023-04-18,Barcelona Metropolitana Sud,Impetigen,18
2023-04-18,Barcelona Metropolitana Sud,Grip,39
2023-04-18,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,100
2023-04-18,Barcelona Metropolitana Sud,Faringoamigdalitis,298
2023-04-18,Barcelona Metropolitana Sud,Escarlatina,12
2023-04-18,Barcelona Metropolitana Sud,COVID-19,80
2023-04-18,Barcelona Metropolitana Sud,Bronquiolitis,4
2023-04-18,Barcelona Metropolitana Sud,Altres IRA,769
2023-04-18,Barcelona Metropolitana Nord,Pneumònia,56
2023-04-18,Barcelona Metropolitana Nord,Impetigen,38
2023-04-18,Barcelona Metropolitana Nord,Grip,91
2023-04-18,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,194
2023-04-18,Barcelona Metropolitana Nord,Faringoamigdalitis,560
2023-04-18,Barcelona Metropolitana Nord,COVID-19,76
2023-04-18,Penedès,Faringoamigdalitis estreptocòccica,39
2023-04-18,Penedès,Pneumònia,3
2023-04-18,Penedès,Impetigen,17
2023-04-18,Penedès,Grip,21
2023-04-18,Terres de l'Ebre,Pneumònia,5
2023-04-18,Terres de l'Ebre,Grip,5
2023-04-18,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,15
2023-04-18,Terres de l'Ebre,Faringoamigdalitis,57
2023-04-18,Terres de l'Ebre,Impetigen,6
2023-04-18,Terres de l'Ebre,COVID-19,9
2023-04-18,Terres de l'Ebre,Bronquiolitis,3
2023-04-18,Terres de l'Ebre,Altres IRA,175
2023-04-18,Terres de l'Ebre,Escarlatina,1
2023-04-19,Barcelona Ciutat,Impetigen,22
2023-04-19,Barcelona Ciutat,Altres IRA,835
2023-04-19,Barcelona Ciutat,Bronquiolitis,6
2023-04-19,Barcelona Ciutat,COVID-19,73
2023-04-19,Barcelona Ciutat,Escarlatina,9
2023-04-19,Barcelona Ciutat,Faringoamigdalitis,334
2023-04-19,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,133
2023-04-19,Barcelona Ciutat,Grip,59
2023-04-19,Barcelona Ciutat,Pneumònia,34
2023-04-19,Barcelona Metropolitana Nord,Faringoamigdalitis,545
2023-04-19,Barcelona Metropolitana Nord,Bronquiolitis,17
2023-04-19,Barcelona Metropolitana Nord,COVID-19,104
2023-04-19,Barcelona Metropolitana Nord,Escarlatina,22
2023-04-19,Alt Pirineu i Aran,Pneumònia,3
2023-04-19,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,154
2023-04-19,Barcelona Metropolitana Nord,Grip,92
2023-04-19,Barcelona Metropolitana Nord,Impetigen,50
2023-04-19,Barcelona Metropolitana Nord,Pneumònia,48
2023-04-19,Barcelona Metropolitana Sud,Altres IRA,646
2023-04-19,Barcelona Metropolitana Sud,Bronquiolitis,4
2023-04-19,Barcelona Metropolitana Nord,Altres IRA,1387
2023-04-19,Alt Pirineu i Aran,Impetigen,1
2023-04-19,Penedès,Escarlatina,3
2023-04-19,No disponible,Pneumònia,1
2023-04-19,Alt Pirineu i Aran,Altres IRA,50
2023-04-19,Alt Pirineu i Aran,COVID-19,4
2023-04-19,Alt Pirineu i Aran,Escarlatina,1
2023-04-19,Alt Pirineu i Aran,Faringoamigdalitis,13
2023-04-19,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,6
2023-04-19,Terres de l'Ebre,Pneumònia,1
2023-04-19,Terres de l'Ebre,Impetigen,1
2023-04-19,Terres de l'Ebre,Grip,4
2023-04-19,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,15
2023-04-19,Alt Pirineu i Aran,Grip,2
2023-04-19,Terres de l'Ebre,Faringoamigdalitis,57
2023-04-19,Terres de l'Ebre,Bronquiolitis,3
2023-04-19,Terres de l'Ebre,Altres IRA,119
2023-04-19,Penedès,Pneumònia,11
2023-04-19,Penedès,Impetigen,9
2023-04-19,Penedès,Grip,16
2023-04-19,Penedès,Faringoamigdalitis estreptocòccica,36
2023-04-19,Penedès,Faringoamigdalitis,104
2023-04-19,Barcelona Metropolitana Sud,COVID-19,76
2023-04-19,Penedès,Altres IRA,290
2023-04-19,Terres de l'Ebre,COVID-19,8
2023-04-19,Barcelona Metropolitana Sud,Escarlatina,9
2023-04-19,Penedès,COVID-19,19
2023-04-19,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,90
2023-04-19,Girona,Escarlatina,3
2023-04-19,Girona,Faringoamigdalitis,208
2023-04-19,Girona,Faringoamigdalitis estreptocòccica,82
2023-04-19,Girona,Grip,31
2023-04-19,Girona,Impetigen,17
2023-04-19,Girona,Pneumònia,23
2023-04-19,Lleida,Altres IRA,242
2023-04-19,Lleida,Bronquiolitis,2
2023-04-19,Lleida,COVID-19,26
2023-04-19,Girona,COVID-19,50
2023-04-19,Lleida,Escarlatina,5
2023-04-19,Lleida,Faringoamigdalitis estreptocòccica,41
2023-04-19,Lleida,Grip,8
2023-04-19,Lleida,Pneumònia,8
2023-04-19,No disponible,Altres IRA,22
2023-04-19,No disponible,COVID-19,4
2023-04-19,No disponible,Faringoamigdalitis,8
2023-04-19,No disponible,Faringoamigdalitis estreptocòccica,3
2023-04-19,No disponible,Grip,3
2023-04-19,Barcelona Metropolitana Sud,Faringoamigdalitis,247
2023-04-19,Lleida,Faringoamigdalitis,111
2023-04-19,Girona,Bronquiolitis,7
2023-04-19,Lleida,Impetigen,5
2023-04-19,Catalunya Central,Pneumònia,10
2023-04-19,Barcelona Metropolitana Sud,Grip,39
2023-04-19,Barcelona Metropolitana Sud,Impetigen,15
2023-04-19,Barcelona Metropolitana Sud,Pneumònia,16
2023-04-19,Camp de Tarragona,Altres IRA,364
2023-04-19,Girona,Altres IRA,476
2023-04-19,Camp de Tarragona,COVID-19,26
2023-04-19,Camp de Tarragona,Escarlatina,6
2023-04-19,Camp de Tarragona,Faringoamigdalitis,151
2023-04-19,Camp de Tarragona,Faringoamigdalitis estreptocòccica,52
2023-04-19,Camp de Tarragona,Grip,23
2023-04-19,Camp de Tarragona,Bronquiolitis,3
2023-04-19,Camp de Tarragona,Pneumònia,22
2023-04-19,Catalunya Central,Altres IRA,237
2023-04-19,Catalunya Central,Bronquiolitis,1
2023-04-19,Catalunya Central,COVID-19,24
2023-04-19,Catalunya Central,Escarlatina,7
2023-04-19,Catalunya Central,Impetigen,5
2023-04-19,Catalunya Central,Grip,7
2023-04-19,Catalunya Central,Faringoamigdalitis estreptocòccica,44
2023-04-19,Camp de Tarragona,Impetigen,7
2023-04-19,Catalunya Central,Faringoamigdalitis,108
2023-04-19,No disponible,Impetigen,1
2023-04-20,Catalunya Central,Faringoamigdalitis estreptocòccica,30
2023-04-20,Catalunya Central,Faringoamigdalitis,76
2023-04-20,Catalunya Central,Escarlatina,1
2023-04-20,Catalunya Central,COVID-19,23
2023-04-20,Camp de Tarragona,Pneumònia,12
2023-04-20,Catalunya Central,Altres IRA,221
2023-04-20,Lleida,Faringoamigdalitis estreptocòccica,38
2023-04-20,Camp de Tarragona,Grip,23
2023-04-20,Camp de Tarragona,Faringoamigdalitis estreptocòccica,53
2023-04-20,Camp de Tarragona,Faringoamigdalitis,119
2023-04-20,Camp de Tarragona,Escarlatina,3
2023-04-20,Catalunya Central,Grip,17
2023-04-20,Camp de Tarragona,COVID-19,42
2023-04-20,Catalunya Central,Bronquiolitis,3
2023-04-20,Catalunya Central,Impetigen,7
2023-04-20,Girona,Faringoamigdalitis estreptocòccica,89
2023-04-20,Girona,Altres IRA,482
2023-04-20,Girona,Bronquiolitis,7
2023-04-20,Girona,COVID-19,28
2023-04-20,Girona,Escarlatina,7
2023-04-20,Girona,Faringoamigdalitis,208
2023-04-20,Girona,Grip,30
2023-04-20,Girona,Impetigen,21
2023-04-20,Girona,Pneumònia,13
2023-04-20,Lleida,Altres IRA,238
2023-04-20,Lleida,Bronquiolitis,3
2023-04-20,Lleida,COVID-19,17
2023-04-20,Lleida,Escarlatina,3
2023-04-20,Lleida,Faringoamigdalitis,106
2023-04-20,Camp de Tarragona,Bronquiolitis,3
2023-04-20,Catalunya Central,Pneumònia,10
2023-04-20,Camp de Tarragona,Altres IRA,293
2023-04-20,Barcelona Ciutat,Escarlatina,8
2023-04-20,Barcelona Metropolitana Sud,Impetigen,21
2023-04-20,Alt Pirineu i Aran,Altres IRA,53
2023-04-20,Alt Pirineu i Aran,COVID-19,1
2023-04-20,Alt Pirineu i Aran,Faringoamigdalitis,17
2023-04-20,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,9
2023-04-20,Alt Pirineu i Aran,Grip,4
2023-04-20,Alt Pirineu i Aran,Impetigen,2
2023-04-20,Alt Pirineu i Aran,Pneumònia,2
2023-04-20,Barcelona Ciutat,Altres IRA,841
2023-04-20,Barcelona Ciutat,Bronquiolitis,10
2023-04-20,Barcelona Ciutat,COVID-19,88
2023-04-20,Barcelona Ciutat,Faringoamigdalitis,310
2023-04-20,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,108
2023-04-20,Barcelona Ciutat,Grip,69
2023-04-20,Barcelona Ciutat,Impetigen,28
2023-04-20,Barcelona Ciutat,Pneumònia,41
2023-04-20,Barcelona Metropolitana Nord,Altres IRA,1268
2023-04-20,Barcelona Metropolitana Nord,Bronquiolitis,17
2023-04-20,Barcelona Metropolitana Sud,Grip,34
2023-04-20,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,73
2023-04-20,Barcelona Metropolitana Sud,Faringoamigdalitis,229
2023-04-20,Barcelona Metropolitana Sud,Escarlatina,9
2023-04-20,Barcelona Metropolitana Sud,COVID-19,63
2023-04-20,Barcelona Metropolitana Sud,Bronquiolitis,4
2023-04-20,Barcelona Metropolitana Sud,Pneumònia,33
2023-04-20,Barcelona Metropolitana Sud,Altres IRA,642
2023-04-20,Barcelona Metropolitana Nord,Impetigen,28
2023-04-20,Barcelona Metropolitana Nord,Grip,65
2023-04-20,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,158
2023-04-20,Barcelona Metropolitana Nord,Faringoamigdalitis,491
2023-04-20,Barcelona Metropolitana Nord,Escarlatina,16
2023-04-20,Barcelona Metropolitana Nord,COVID-19,101
2023-04-20,Barcelona Metropolitana Nord,Pneumònia,44
2023-04-20,Lleida,Grip,6
2023-04-20,Camp de Tarragona,Impetigen,14
2023-04-20,Penedès,Escarlatina,1
2023-04-20,Terres de l'Ebre,Grip,11
2023-04-20,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,20
2023-04-20,Lleida,Pneumònia,11
2023-04-20,No disponible,Altres IRA,36
2023-04-20,No disponible,Faringoamigdalitis,12
2023-04-20,No disponible,Faringoamigdalitis estreptocòccica,5
2023-04-20,No disponible,Grip,3
2023-04-20,Penedès,Altres IRA,238
2023-04-20,Penedès,Bronquiolitis,5
2023-04-20,Penedès,COVID-19,14
2023-04-20,Terres de l'Ebre,Faringoamigdalitis,56
2023-04-20,Penedès,Faringoamigdalitis,63
2023-04-20,Penedès,Faringoamigdalitis estreptocòccica,30
2023-04-20,Penedès,Grip,24
2023-04-20,Penedès,Impetigen,4
2023-04-20,Penedès,Pneumònia,7
2023-04-20,Terres de l'Ebre,Altres IRA,126
2023-04-20,Terres de l'Ebre,Impetigen,3
2023-04-20,Terres de l'Ebre,Bronquiolitis,1
2023-04-20,Terres de l'Ebre,COVID-19,8
2023-04-20,Terres de l'Ebre,Pneumònia,6
2023-04-20,Lleida,Impetigen,7
2023-04-21,Barcelona Ciutat,Altres IRA,744
2023-04-21,Catalunya Central,Bronquiolitis,1
2023-04-21,Camp de Tarragona,Pneumònia,11
2023-04-21,Camp de Tarragona,Impetigen,7
2023-04-21,Camp de Tarragona,Grip,13
2023-04-21,Camp de Tarragona,Faringoamigdalitis estreptocòccica,64
2023-04-21,Camp de Tarragona,Faringoamigdalitis,145
2023-04-21,Camp de Tarragona,Escarlatina,4
2023-04-21,Camp de Tarragona,COVID-19,35
2023-04-21,Camp de Tarragona,Bronquiolitis,6
2023-04-21,Camp de Tarragona,Altres IRA,316
2023-04-21,Barcelona Metropolitana Sud,Pneumònia,25
2023-04-21,Barcelona Metropolitana Sud,Impetigen,20
2023-04-21,Barcelona Metropolitana Sud,Grip,34
2023-04-21,Alt Pirineu i Aran,COVID-19,4
2023-04-21,Alt Pirineu i Aran,Faringoamigdalitis,20
2023-04-21,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,7
2023-04-21,Alt Pirineu i Aran,Grip,2
2023-04-21,Alt Pirineu i Aran,Pneumònia,3
2023-04-21,Lleida,Pneumònia,11
2023-04-21,Barcelona Ciutat,Bronquiolitis,7
2023-04-21,Barcelona Metropolitana Nord,COVID-19,89
2023-04-21,Barcelona Metropolitana Nord,Escarlatina,22
2023-04-21,Barcelona Metropolitana Nord,Faringoamigdalitis,467
2023-04-21,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,172
2023-04-21,Barcelona Metropolitana Nord,Grip,69
2023-04-21,Barcelona Metropolitana Nord,Impetigen,29
2023-04-21,Barcelona Metropolitana Nord,Pneumònia,44
2023-04-21,Barcelona Metropolitana Sud,Altres IRA,602
2023-04-21,Barcelona Metropolitana Sud,Bronquiolitis,10
2023-04-21,Barcelona Metropolitana Sud,COVID-19,53
2023-04-21,Catalunya Central,COVID-19,18
2023-04-21,Barcelona Metropolitana Sud,Escarlatina,21
2023-04-21,Barcelona Metropolitana Nord,Altres IRA,1121
2023-04-21,Barcelona Ciutat,Pneumònia,37
2023-04-21,Barcelona Ciutat,Impetigen,24
2023-04-21,Barcelona Metropolitana Sud,Faringoamigdalitis,274
2023-04-21,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,111
2023-04-21,Barcelona Ciutat,Grip,57
2023-04-21,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,115
2023-04-21,Barcelona Ciutat,Faringoamigdalitis,286
2023-04-21,Barcelona Ciutat,Escarlatina,10
2023-04-21,Barcelona Ciutat,COVID-19,106
2023-04-21,Barcelona Metropolitana Nord,Bronquiolitis,11
2023-04-21,Catalunya Central,Escarlatina,4
2023-04-21,Catalunya Central,Altres IRA,250
2023-04-21,Catalunya Central,Faringoamigdalitis estreptocòccica,43
2023-04-21,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,15
2023-04-21,Terres de l'Ebre,Faringoamigdalitis,39
2023-04-21,Terres de l'Ebre,Escarlatina,1
2023-04-21,Terres de l'Ebre,COVID-19,11
2023-04-21,Terres de l'Ebre,Altres IRA,97
2023-04-21,Penedès,Pneumònia,10
2023-04-21,Penedès,Impetigen,4
2023-04-21,Penedès,Grip,8
2023-04-21,Catalunya Central,Faringoamigdalitis,115
2023-04-21,Terres de l'Ebre,Grip,5
2023-04-21,Penedès,Faringoamigdalitis estreptocòccica,44
2023-04-21,Penedès,Escarlatina,3
2023-04-21,Penedès,COVID-19,13
2023-04-21,Penedès,Bronquiolitis,2
2023-04-21,Penedès,Altres IRA,234
2023-04-21,No disponible,Pneumònia,2
2023-04-21,No disponible,Grip,2
2023-04-21,No disponible,Faringoamigdalitis estreptocòccica,4
2023-04-21,No disponible,Faringoamigdalitis,9
2023-04-21,No disponible,Altres IRA,22
2023-04-21,Penedès,Faringoamigdalitis,101
2023-04-21,Terres de l'Ebre,Impetigen,1
2023-04-21,Terres de l'Ebre,Bronquiolitis,1
2023-04-21,Alt Pirineu i Aran,Altres IRA,38
2023-04-21,Girona,Faringoamigdalitis,203
2023-04-21,Girona,Faringoamigdalitis estreptocòccica,93
2023-04-21,Girona,Grip,26
2023-04-21,Girona,Impetigen,21
2023-04-21,Girona,Bronquiolitis,7
2023-04-21,Terres de l'Ebre,Pneumònia,7
2023-04-21,Girona,Altres IRA,458
2023-04-21,Catalunya Central,Pneumònia,10
2023-04-21,Catalunya Central,Impetigen,4
2023-04-21,Girona,Pneumònia,19
2023-04-21,Girona,Escarlatina,7
2023-04-21,Girona,COVID-19,38
2023-04-21,Lleida,Altres IRA,211
2023-04-21,Lleida,Bronquiolitis,1
2023-04-21,Lleida,COVID-19,20
2023-04-21,Lleida,Escarlatina,4
2023-04-21,Lleida,Faringoamigdalitis,103
2023-04-21,Lleida,Faringoamigdalitis estreptocòccica,38
2023-04-21,Lleida,Grip,8
2023-04-21,Lleida,Impetigen,1
2023-04-21,Catalunya Central,Grip,9
2023-04-22,Barcelona Metropolitana Sud,Escarlatina,7
2023-04-22,Barcelona Metropolitana Sud,COVID-19,17
2023-04-22,Barcelona Metropolitana Sud,Faringoamigdalitis,143
2023-04-22,Barcelona Metropolitana Sud,Grip,3
2023-04-22,Barcelona Metropolitana Sud,Impetigen,5
2023-04-22,Barcelona Metropolitana Sud,Pneumònia,6
2023-04-22,Camp de Tarragona,Altres IRA,160
2023-04-22,Camp de Tarragona,COVID-19,3
2023-04-22,Camp de Tarragona,Escarlatina,1
2023-04-22,Camp de Tarragona,Faringoamigdalitis,77
2023-04-22,Barcelona Metropolitana Sud,Bronquiolitis,1
2023-04-22,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,44
2023-04-22,Barcelona Metropolitana Sud,Altres IRA,238
2023-04-22,Barcelona Ciutat,Grip,8
2023-04-22,Barcelona Metropolitana Nord,Impetigen,6
2023-04-22,Barcelona Metropolitana Nord,Grip,14
